,Parameter,Value,StdErr
0,x_corr,0.9122342342342342,0.005551318321508635
1,z_corr,0.9530648648648649,0.0017245036410823622
2,prod_var_x,0.3320720720720721,0.01959637237792252
3,prod_err_w,0.19579579579579579,0.00036325255117237483
4,prod_err_y,0.1921921921921922,0.0029092861002514496
5,prod_var_x2,0.6977477477477478,0.027165771453961905
6,prod_var_z,0.4886486486486487,0.008926122360472619
7,efcost_ce,0.3708708708708709,0.010232226384284311
8,u_bf_m,0.11461461461461461,0.02551911105107097
9,alpha,0.1945945945945946,0.0018924694955588211
10,s_job,0.5253253253253254,0.016698447947832668
11,efcost_sep,0.0006426426426426426,0.00023514468780317648
